,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate,mu_z,std_z,corr,sig_to_var
38,3.8043909007618444,3.462172994709576,0.47345140310751216,0.1,2.2710952590001927,2.9847409598507983,0.16611523109473245,0.16532295592750745,0.9302347395105146,0.9212026570213192,1.5148748978736681,0.16531347314373,ndt,1.0000573624375384
39,3.2558108622806854,3.140621462692531,1.6870399097713267,1.5217403870841177,1.6884804085600025,1.7628829520030063,0.9806181934207272,0.9589695391691955,0.5363485169445775,0.5343485224612883,1.330878152674585,0.9573074632625226,ndt,1.0017361986304887
40,3.8769267971604617,1.5,1.532900500921094,0.9669924493741604,1.2330724779459619,1.4290810268259293,0.617748341997516,0.7786258950695546,0.4952379078949939,0.7892379802673062,1.2784743770159166,0.6396642291871412,noise,1.2172415769739073
41,2.5978905828763614,2.268878086792263,0.21576687872975792,0.17943401533850928,0.5397196456967399,0.5036916287115439,0.19897043657862354,1.6377199062160808,0.85480720639433,1.0,2.610404738100462,0.19101973283495713,noise,8.573564007814241
42,2.6104834467119638,1.8286326355647509,0.11434539146986476,0.1,1.1770756586563969,1.0337934414866954,0.8794473054562997,1.4624888611515954,0.16090627193577203,0.5691689373285818,1.7431618775680344,0.8940143850717288,noise,1.6358672584829343
43,3.3296355554082684,3.3798100246418983,1.2358345121382013,1.2149744764300132,0.11519376284505645,0.1426346918715702,0.2154309787610136,0.20935071502406147,0.9647236359741607,0.9590831322515031,1.6309662947325643,0.20935136054143377,ndt,0.9999969165838204
44,3.9579276151004077,3.867317271387697,1.7888905235209442,1.7143956131327291,0.13638077797296388,0.197496697420724,0.5001334210700654,0.5215189245490952,0.08220778372579715,0.07520762269245894,1.8201745086958117,0.5214897100068135,ndt,1.0000560213206917
45,2.4013266248756318,2.0971122658158725,1.5704306303161806,1.4608458647637967,1.582195002142924,1.6871445665816864,0.7454495569002242,0.7756233919698805,0.3918621865881644,0.43286219159686906,1.2652140294053031,0.7753928317060195,ndt,1.0002973463958311
46,3.732440904484247,3.5900664170809,1.819477843215528,1.743364836038853,2.855474007790722,2.8107838590354013,0.11280879052387424,0.11383015100659756,0.13915551005973328,0.1466333459764371,1.4484393786233167,0.11382708443862234,ndt,1.000026940582642
47,2.944809645070115,1.5,1.078210940594247,0.6911147051536451,0.7784288416998852,0.879411355096679,0.8181221802690265,1.0672594048517616,0.4473855118181459,0.6942808786376319,1.4861287426417487,0.7897249734518271,noise,1.3514317524832131
