,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_true,sigma_estimate,mu_z,std_z,index,corr,sig_to_var
42,3.3613809725156236,3.4314519404513684,0.1875369361770753,0.21060369833912118,0.9785652430469756,1.0,0.08658129777374346,0.11857760595401962,-1.1775843097586294,-1.1735684288119266,0.7732354069789446,0.7727943184820131,0.4383217619685259,0.7725754608126572,1.0002832832266322,ndt,1.0002832832266322
43,4.407486780276041,4.2495423855132115,1.371918765045548,1.3282412022813093,0.5399704710395562,0.5675906448686454,-1.140334388915281,-1.1937286197076244,-2.289647530668899,-2.430101656315901,0.4204458364203296,0.44745056509376135,2.984069722543354,0.4472605614990542,1.053163199132506,ndt,1.0004248163398766
44,3.7132435685529557,3.8941945725771734,0.40483410402508085,0.46750448568443576,0.15673630040110917,0.14823422061328312,-2.1330970574669896,-2.1075561843551878,-0.4434832559885111,-0.4490306038755989,0.47689469884767227,0.459487048340242,2.8367996719786843,0.45947650954387964,1.145399120508691,ndt,1.0000229365291662
45,3.0474148540517234,3.073293719717988,1.3256957412812413,1.3383371062166989,0.21888799488080624,0.2236378804873903,-1.9736140590482267,-1.9797681591257266,-0.45198407888600234,-0.490965583966686,0.17976338775307998,0.17652710353599235,1.3795772811434472,0.17651184826866537,1.0033859726782735,ndt,1.0000864263077895
46,4.89842332755614,2.2310592349725726,1.6196886208516472,1.0353215994448308,0.4562678084174355,0.6678527394941585,-1.548794749449714,-1.8691459467669458,2.4283152667423256,2.9381656707557693,0.8394285119525461,0.9359058795811216,1.0740844582239568,0.8497381934280626,1.1590912842794245,noise,1.1014049819338312
47,2.0074195479093353,2.0,1.2261319679238287,1.240844103215774,0.664863787561396,0.6893042918427876,-1.8885897893993042,-1.9852361152715639,1.085112404865464,1.0699995888464473,0.5922919059620129,0.9705302341954934,1.4209287812994889,0.6074419647978575,1.9323602395996715,noise,1.597733265791841
48,2.8427441208809006,3.022561711983429,0.40737008034837613,0.42754022868423314,0.7447461264448902,0.685112619105467,0.6282093916050278,0.6558836965383112,1.0219689905474676,0.9447575583575809,0.9516646997021235,0.9100679220769397,1.3707566853444395,0.9091912039659573,1.0597259843441547,ndt,1.0009642835381138
49,2.2567103265506816,2.2379599033559763,1.5407557470803122,1.5996707674572275,0.7625717156828573,0.781361610452391,1.0095687733656558,1.067913746744559,-1.8971234132942216,-1.9044863062821782,0.25650153686815347,0.24783171875214477,1.7549456947583018,0.2477739625889287,1.001419040873736,ndt,1.0002331002120344
50,2.3336484314313286,2.0310438414566,1.7571634684177877,1.5902513100916278,0.8076989054866591,0.8426997217854886,-0.3182753465395245,-0.38465076594854164,0.5955572555070119,0.5224316570273185,0.4879332799730919,0.48584128010061217,2.292435867067324,0.4858101024616935,1.0050636508537778,ndt,1.0000641765964946
51,4.91653513377224,2.230493803812946,1.3619653478856073,0.8488441976304106,0.47465618659190273,0.7003932693031012,1.85899256423827,2.2003495576497527,-1.9341629935053648,-2.1107739231348064,0.9160123591466772,2.1693550314170764,2.6878231841802336,0.8960797162621573,2.792868757683535,noise,2.4209397802978607
52,2.5843844749640543,5.0,0.670202171218804,0.735273118049666,0.8160696455369819,0.42791103633890204,1.5066169307519377,1.2597426942144592,2.4392885567709475,1.9558667635547589,0.3992822004660396,0.42772066140197385,0.29894904137031686,0.41097976036006667,1.2505707419305274,noise,1.0407341252699165
53,2.7639178986302855,3.1814007240610125,0.6941850086569463,0.968821127881588,0.1544419108560622,0.1509542605792815,-2.9424736409370946,-2.9393201615743174,-2.7037940163524445,-2.6707267963568375,0.578152641253142,0.5803614509719854,0.967283753558188,0.5788345178849591,1.0318268886617845,ndt,1.0026379440752873
54,3.1736481458297394,2.500522294628701,1.619516980220533,1.4196756154646755,0.3026877346669335,0.3816879379381878,0.511028144703193,0.6161551989622812,-0.533173401948073,-0.6212134344153684,0.6880073450908658,0.7343560608991941,0.9401179093427922,0.733634730301709,1.047028645417576,ndt,1.000983228530073
55,3.955825623815869,4.123102851250973,0.5213904457486256,0.5417640554201173,0.7474023556332082,0.7513119012136374,-0.6231953789386344,-0.6550007278372865,-0.048191147757723485,-0.024697338563087513,0.7704885686052857,0.7720864340500357,2.531217023635788,0.7720905534061845,1.1419033639485026,ndt,0.9999946646722583
