,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
166,CTDDM,1161.679599345964,701.9787568344706,1186.5380317396528,726.8371892281593,1.7268220305858568,CTDDM
167,DDM,2687.382671675118,2705.149514127971,2712.241104068807,2730.00794652166,0.0014613478356697,DDM
168,CTDDM,1325.3698526139658,1278.5467741373611,1350.228285007655,1303.40520653105,0.3408471697047692,CTDDM
169,DDM,2302.6818761672484,2301.9164883006542,2327.5403085609373,2326.774920694343,0.0062995566132695,DDM
170,CTDDM,1129.3889442965922,931.9825566407624,1154.247376690281,956.8409890344512,1.4120691167111048,CTDDM
171,DDM,2184.455622432161,2189.6386533819436,2209.31405482585,2214.4970857756325,0.0,DDM
172,CTDDM,2331.712879017736,2209.8684351402553,2356.571311411425,2234.726867533944,0.2561356705947111,CTDDM
173,DDM,2870.9200988967514,2878.3254030232692,2895.77853129044,2903.183835416958,0.0002536355653804,DDM
174,CTDDM,1088.5176447632768,1016.9644934769632,1113.3760771569655,1041.8229258706522,0.7978628373497147,CTDDM
175,DDM,2681.254103071962,2756.0231968219973,2706.112535465651,2780.881629215686,0.0,DDM
176,CTDDM,1610.8639347879714,1472.917150844749,1635.7223671816605,1497.7755832384375,0.5517495774071279,CTDDM
177,DDM,2453.0723968343545,2528.635866829309,2477.9308292280434,2553.494299222998,0.0,DDM
178,CTDDM,961.9409613177436,830.6554298510283,986.7993937114322,855.5138622447171,0.911538030396614,CTDDM
179,DDM,3031.9824671236693,3060.750462589865,3056.840899517358,3085.608894983554,0.0040774969295201,DDM
180,CTDDM,1623.9970940536846,1472.4561582594408,1648.8555264473734,1497.3145906531297,0.978717337624516,CTDDM
181,DDM,3491.611664219173,3513.6042715693693,3516.4700966128617,3538.462703963058,0.0,DDM
182,CTDDM,1852.8996046160137,1686.5493816864016,1877.7580370097023,1711.4078140800905,0.4872944893342164,CTDDM
183,DDM,2653.597421884773,2676.9324407858667,2678.455854278462,2701.7908731795555,0.0016537049800689,DDM
184,CTDDM,1674.0199047140302,1522.4917477354074,1698.878337107719,1547.3501801290963,0.5651339723647991,CTDDM
185,DDM,2789.850727082868,2819.0601716659667,2814.709159476557,2843.9186040596555,0.0,DDM
186,CTDDM,1411.8943290414788,1052.3426114302083,1436.7527614351677,1077.2010438238972,1.8208873064251732,CTDDM
187,DDM,2750.630516716278,2757.858775464912,2775.4889491099675,2782.717207858601,0.0014760488844896,DDM
188,CTDDM,1270.6121897386777,1055.0082670630193,1295.4706221323663,1079.866699456708,1.317580647734137,CTDDM
189,DDM,3310.306681902752,3322.2340451870114,3335.165114296441,3347.0924775807,0.0068725921101915,DDM
190,CTDDM,1523.7323005366777,1222.7191319799024,1548.5907329303666,1247.5775643735913,2.0,CTDDM
191,DDM,2278.887742186571,2277.518800816421,2303.74617458026,2302.37723321011,0.0187407216499863,DDM
192,CTDDM,1139.937908185237,1077.29537034015,1164.7963405789255,1102.1538027338388,0.4155317437340421,CTDDM
193,DDM,2635.0689289155075,2645.962443939116,2659.9273613091964,2670.820876332805,0.0140479646913078,DDM
194,CTDDM,2505.7243744957996,2381.2475729294542,2530.5828068894884,2406.106005323143,0.2849558712564626,CTDDM
195,DDM,2189.409992406944,2201.719541745262,2214.268424800633,2226.577974138951,0.0,DDM
196,CTDDM,1930.5298148104616,1685.9994193405764,1955.3882472041505,1710.8578517342653,0.8392046814341915,CTDDM
197,DDM,1689.475637680834,1689.1142695177384,1714.334070074523,1713.9727019114273,0.0213576059591937,DDM
198,CTDDM,2248.591969210657,2037.2017492231073,2273.450401604346,2062.060181616796,0.3793665096762668,CTDDM
199,DDM,2135.064118947043,2146.328327937346,2159.922551340732,2171.1867603310347,0.0,DDM
200,CTDDM,1883.2418433182445,1803.8628358528665,1908.1002757119331,1828.7212682465552,0.2521823190061853,CTDDM
201,DDM,1801.9200539092092,1821.7299689440297,1826.778486302898,1846.5884013377183,0.0,DDM
202,CTDDM,1778.2361018607487,1642.8225640557391,1803.0945342544376,1667.6809964494282,0.4136223957563569,CTDDM
203,DDM,2951.3389775769456,3031.858524320569,2976.1974099706345,3056.716956714258,0.0,DDM
204,CTDDM,1997.7278432904425,1750.0714545792807,2022.5862756841311,1774.9298869729696,0.850490864478158,CTDDM
205,DDM,2893.5034284976946,2894.497241797594,2918.3618608913835,2919.355674191283,0.0,DDM
206,CTDDM,1000.5704230258068,886.4888305132496,1025.4288554194954,911.3472629069385,0.8557412888131124,CTDDM
207,DDM,2724.7635268488366,2724.179284622596,2749.6219592425255,2749.037717016285,0.0,DDM
208,CTDDM,1644.9362009090507,1566.865797958808,1669.7946333027396,1591.7242303524968,0.306406639338963,CTDDM
209,DDM,3280.6107020410386,3292.624601061622,3305.4691344347275,3317.4830334553108,0.0,DDM
210,CTDDM,2060.5035842998172,1960.8115856671543,2085.362016693506,1985.6700180608432,0.4455248511343849,CTDDM
211,DDM,3066.8155830959904,3071.4681414847364,3091.6740154896793,3096.3265738784253,0.0,DDM
212,CTDDM,1324.3474750393802,1171.2837089457976,1349.2059074330691,1196.1421413394864,0.8660993926956219,CTDDM
213,DDM,2041.056071279044,2044.4957297636224,2065.9145036727327,2069.3541621573113,0.0103596124104329,DDM
214,CTDDM,2518.093803049162,2356.2109930308297,2542.952235442851,2381.0694254245186,0.28583527860288,CTDDM
215,DDM,1890.295790981535,1890.514903296148,1915.154223375224,1915.3733356898367,0.0,DDM
216,CTDDM,1567.728758336372,1412.088515371593,1592.587190730061,1436.946947765282,0.6322421903656884,CTDDM
217,DDM,2341.2010336020417,2345.8622108792133,2366.0594659957305,2370.720643272902,0.0104190418366898,DDM
218,CTDDM,1623.7106382279785,1312.793645020347,1648.5690706216674,1337.6520774140358,2.0,CTDDM
219,DDM,3506.9387366982824,3548.6444235379945,3531.797169091971,3573.5028559316834,0.0,DDM
220,CTDDM,1581.0513394111988,1353.8119616378235,1605.9097718048877,1378.6703940315124,1.5825415277252346,CTDDM
221,DDM,3314.5220648680915,3346.5524277487507,3339.3804972617804,3371.4108601424396,0.0,DDM
222,CTDDM,2158.5775809340844,1922.2778673745267,2183.4360133277733,1947.1362997682156,0.6565638109795324,CTDDM
223,DDM,2358.644615138682,2417.3208906575655,2383.5030475323715,2442.1793230512544,0.0,DDM
224,CTDDM,1077.0189257542495,907.5073364301826,1101.8773581479386,932.3657688238712,2.0,CTDDM
225,DDM,3733.8338469218183,3740.117071025651,3758.692279315507,3764.97550341934,0.0,DDM
226,CTDDM,1243.8272574393943,1051.6083590832018,1268.6856898330834,1076.4667914768906,0.947692039196345,CTDDM
227,DDM,3891.008673632597,3890.1868404390966,3915.867106026286,3915.0452728327855,0.001696002205314,DDM
228,CTDDM,1588.9635498991363,1366.741529653726,1613.8219822928252,1391.599962047415,1.6320353118312918,CTDDM
229,DDM,2651.1812737990344,2682.013638958318,2676.0397061927233,2706.872071352007,0.0,DDM
230,CTDDM,1492.6093722067662,1384.905813746121,1517.467804600455,1409.7642461398102,0.5930074611240821,CTDDM
231,DDM,2932.7071960619237,2981.8780108114247,2957.565628455613,3006.7364432051136,0.0,DDM
232,CTDDM,1226.655329866058,1054.0051104027175,1251.5137622597467,1078.8635427964064,1.1826678215143978,CTDDM
233,DDM,2783.068675901241,2795.8308777120938,2807.92710829493,2820.6893101057826,0.0028378403740284,DDM
234,CTDDM,2439.479153102855,2207.7843438923765,2464.3375854965443,2232.6427762860653,0.4805109060281698,CTDDM
235,DDM,3169.738267515316,3240.400062824355,3194.596699909005,3265.2584952180437,0.0,DDM
236,CTDDM,2039.8527628299696,1873.18037114281,2064.7111952236583,1898.038803536499,0.3956476613398803,CTDDM
237,DDM,3593.297083911995,3587.2705420135812,3618.155516305684,3612.12897440727,0.0080508488246076,DDM
238,CTDDM,2644.766698443981,2482.5636113547116,2669.62513083767,2507.4220437484005,0.2259422746162894,CTDDM
239,DDM,2649.7515799738935,2701.245969450212,2674.6100123675824,2726.1044018439006,0.0,DDM
240,CTDDM,1679.736570518202,1437.5838731757235,1704.5950029118908,1462.4423055694126,1.0479597077008918,CTDDM
241,DDM,2158.8768477130125,2160.159210694184,2183.7352801067013,2185.017643087873,0.0,DDM
242,CTDDM,1387.6364453229126,1167.9173714982842,1412.4948777166014,1192.775803891973,1.4070705040738536,CTDDM
243,DDM,2775.2274620642593,2817.6619558422817,2800.085894457948,2842.5203882359706,0.0,DDM
244,CTDDM,1658.842411356284,1376.8418485992015,1683.7008437499728,1401.7002809928906,1.492399068223021,CTDDM
245,DDM,3171.1905624153896,3173.9923675863893,3196.0489948090785,3198.850799980078,0.0,DDM
246,CTDDM,1691.84427274842,1504.3563207643444,1716.702705142109,1529.214753158033,1.151722658620969,CTDDM
247,DDM,2372.9359189744214,2407.618190197272,2397.7943513681103,2432.4766225909607,0.0025990989443835,DDM
248,CTDDM,2287.593027955283,2152.044529990395,2312.451460348972,2176.902962384084,0.3527311000580646,CTDDM
249,DDM,2147.759249832334,2200.545621361726,2172.617682226022,2225.404053755414,0.0,DDM
250,CTDDM,1510.3636552172875,1261.1841996814446,1535.2220876109766,1286.0426320751335,1.5647308778050495,CTDDM
251,DDM,2322.213416131931,2326.1936920504686,2347.07184852562,2351.0521244441575,0.0032236051198235,DDM
252,CTDDM,1282.9173334788863,1208.564683322739,1307.7757658725752,1233.423115716428,0.527498163426761,CTDDM
253,DDM,1984.4433382861864,1983.873293298829,2009.3017706798755,2008.7317256925176,0.0132437475864611,DDM
254,CTDDM,1306.9032155022608,1181.434853397718,1331.7616478959496,1206.293285791407,1.1152623780359283,CTDDM
255,DDM,3412.3747100299997,3431.8508725309116,3437.2331424236886,3456.7093049246005,0.0,DDM
256,CTDDM,1648.1050479375613,1320.8900720888587,1672.96348033125,1345.7485044825476,2.0,CTDDM
